iter	RMSE
0	0.9407686949
1	0.901596408
2	0.866101724
3	0.8311767778
4	0.795995507
5	0.7635782473
6	0.7308919446
7	0.7015963685
8	0.6734373111
9	0.645804714
10	0.6198044878
11	0.5942820029
12	0.5695349467
13	0.5470349912
14	0.5255132266
15	0.5047336635
16	0.4846586627
17	0.465888017
18	0.4474238028
19	0.4294579062
20	0.4124959516
21	0.3966623388
22	0.3808838033
23	0.3669725952
24	0.3527426015
25	0.3401436503
26	0.3280511133
27	0.3158018968
28	0.3051239032
29	0.2938124959
30	0.2827794769
31	0.2725443565
32	0.2630861771
33	0.2543553416
34	0.245545281
35	0.2372359062
36	0.2290320436
37	0.2208630805
38	0.2134318023
39	0.2071463511
40	0.200321077
41	0.1938647322
42	0.1875296031
43	0.181026432
44	0.1747049429
45	0.1686366352
46	0.1631906846
47	0.1572651856
48	0.1531875463
49	0.1482526298
50	0.14353837
51	0.1390990335
52	0.1353492242
53	0.1312058684
54	0.1270052336
55	0.1231319335
56	0.1194123224
57	0.1158455287
58	0.1132167749
59	0.1101006098
60	0.106753285
61	0.1035116098
62	0.1010693817
63	0.09859934918
64	0.09641606291
65	0.09387977733
66	0.09127482687
67	0.08905668086
68	0.08689808806
69	0.08472023547
70	0.08233791961
71	0.08013194632
72	0.07826203317
73	0.07671250009
74	0.07509864018
75	0.07338360728
76	0.07205583998
77	0.07073522269
78	0.06932839239
79	0.06797059621
80	0.06648060324
81	0.06534663806
82	0.06399028621
83	0.06283370838
84	0.06159830551
85	0.06049288283
86	0.05951923678
87	0.05854663059
88	0.05766788892
89	0.05675263746
90	0.0560830188
91	0.05521226813
92	0.05441547355
93	0.05338059777
94	0.05257301949
95	0.05179324092
96	0.05107446213
97	0.05053607273
98	0.05009857043
99	0.04944703555
100	0.04883831645
101	0.04831567083
102	0.04782416967
103	0.04737301952
104	0.04674149388
105	0.04623208494
106	0.045545935
107	0.04519872002
108	0.0448454891
109	0.04440096423
110	0.0439404704
111	0.04359921759
112	0.0430271671
113	0.04274136469
114	0.04199662096
115	0.04176704511
116	0.04118178977
117	0.04082559824
118	0.04052932176
119	0.04011984508
120	0.03976425766
121	0.03943395072
122	0.03890605323
123	0.03862670283
124	0.03820652358
125	0.03801530015
126	0.03781816957
127	0.03760226652
128	0.03724372508
129	0.03681076534
130	0.03633449786
131	0.03595910073
132	0.03571993655
133	0.03551908896
134	0.03545281599
135	0.03521877021
136	0.0351144436
137	0.03499682888
138	0.03485697869
139	0.03478101442
140	0.03468676367
141	0.03455615075
142	0.03447267263
143	0.03431652754
144	0.0341390248
145	0.03385448292
146	0.03374933884
147	0.03350433045
148	0.03329874321
149	0.03318909795
150	0.03296854433
151	0.03279979636
152	0.03259977031
153	0.03251237513
154	0.03237012885
155	0.03214601931
156	0.03188546535
157	0.03177733853
158	0.03152645726
159	0.03141162159
160	0.03124672098
161	0.03103432431
162	0.03087719747
163	0.03074655925
164	0.03061774079
165	0.03049801609
166	0.03026993557
167	0.03013869673
168	0.03004090988
169	0.02999955962
170	0.02984582119
171	0.02971122144
172	0.029484798
173	0.02945564527
174	0.02938124
175	0.02931982805
176	0.02919921058
177	0.02902599265
178	0.02901193001
179	0.02891422491
180	0.02888979313
181	0.02869133481
182	0.02854867447
183	0.02849093053
184	0.0283892457
185	0.02831632759
186	0.02822214424
187	0.02813681303
188	0.02805539698
189	0.02801986227
190	0.02782704055
191	0.02774647989
192	0.02767748171
193	0.02755847931
194	0.02747019488
195	0.02739114504
196	0.02724961337
197	0.02717971276
198	0.02704487243
199	0.02698782564
200	0.0269784649
201	0.02683287575
202	0.02672171591
203	0.02656023031
204	0.02645052388
205	0.02639048282
206	0.02618643653
207	0.02617460155
208	0.02616347219
209	0.02612371307
210	0.02605664515
211	0.02600103452
212	0.02594776635
213	0.02588805891
214	0.02575967324
215	0.02561793352
216	0.02556306244
217	0.02537217099
218	0.0253249366
219	0.02531744274
220	0.02517723089
221	0.02503521773
222	0.02497083315
223	0.02485506678
224	0.02472558188
225	0.02460609094
226	0.02456223322
227	0.02450051265
228	0.02435546001
229	0.02424151994
230	0.0241343355
231	0.02407539775
232	0.02397378862
233	0.02392808359
234	0.02376845374
235	0.02372156447
236	0.02362834909
237	0.02353156104
238	0.02347383502
239	0.02341443739
240	0.02325661211
241	0.02310176329
242	0.02297567601
243	0.02280617456
244	0.02266092695
245	0.02255077292
246	0.02246693719
247	0.02239866483
248	0.02229434478
249	0.02216685576
250	0.02206500088
251	0.02201692258
252	0.0219328538
253	0.02185905458
254	0.02178585399
255	0.02170671644
256	0.02166749829
257	0.02162957759
258	0.02156941801
259	0.02153496378
260	0.02148348759
261	0.02136729155
262	0.0212741808
263	0.0211251143
264	0.02106324728
265	0.02101337217
266	0.02096410164
267	0.02085728666
268	0.02073531941
269	0.02068098371
270	0.02057065225
271	0.02046603609
272	0.02039274071
273	0.02028927658
274	0.02019344361
275	0.02014168994
276	0.02004670019
277	0.01994881443
278	0.01986771451
279	0.01981694091
280	0.01969441018
281	0.01960833144
282	0.01951591656
283	0.01943716556
284	0.01935120914
285	0.0193023971
286	0.01922713988
287	0.01913821041
288	0.01909059483
289	0.01901627035
290	0.01892756587
291	0.01882728812
292	0.0187382061
293	0.01865603399
294	0.01858020974
295	0.01854071903
296	0.01846880568
297	0.01842073747
298	0.01833192983
299	0.01824029002
300	0.01819999091
301	0.01813289169
302	0.0180581889
303	0.01801836956
304	0.01795648227
305	0.01789309636
306	0.01781382646
307	0.01772412347
308	0.01767840317
309	0.01756798483
310	0.01750800066
311	0.01741613446
312	0.01736194603
313	0.01728542545
314	0.01725237507
315	0.01717644319
316	0.01708876504
317	0.0170140196
318	0.01693866853
319	0.01688931074
320	0.01686108964
321	0.01680413735
322	0.01676385771
323	0.016759557
324	0.01668590997
325	0.01663018626
326	0.01655142973
327	0.01652662852
328	0.01642847612
329	0.01639129328
330	0.01633005543
331	0.01627588538
332	0.01619020949
333	0.01612066745
334	0.01607553606
335	0.01602164321
336	0.0159617117
337	0.01595772629
338	0.01586822473
339	0.01578574482
340	0.01574180411
341	0.01567506906
342	0.01562688882
343	0.01557640468
344	0.01551570171
345	0.01546516022
346	0.01541949537
347	0.01536854398
348	0.01530617913
349	0.01524521181
350	0.01519126686
351	0.01511534114
352	0.01505822667
353	0.01500405552
354	0.01495381798
355	0.01495009648
356	0.01491112609
357	0.0148553612
358	0.01485175937
359	0.01481456929
360	0.01477073237
361	0.01472397246
362	0.01467574453
363	0.01464304597
364	0.01458013345
365	0.0145401983
366	0.01450050425
367	0.01446329484
368	0.01440833522
369	0.01435360294
370	0.01430365924
371	0.01425615991
372	0.01422104039
373	0.01417985701
374	0.01412751782
375	0.01407677686
376	0.01402544864
377	0.01398573485
378	0.01394429568
379	0.01390521272
380	0.01387201187
381	0.01382746387
382	0.01379029127
383	0.01374110231
384	0.01369663184
385	0.01365160655
386	0.0136128503
387	0.01354419372
388	0.01350672387
389	0.01344899638
390	0.01340853339
391	0.01336250721
392	0.01330756905
393	0.01327564916
394	0.01323384232
395	0.01319167054
396	0.01316067011
397	0.01315780187
398	0.01311795446
399	0.01307085525
400	0.01302594134
401	0.01298050908
402	0.01297771626
403	0.01293086201
404	0.01292813663
405	0.01288457496
406	0.01288191513
407	0.01283900615
408	0.01279868947
409	0.01276715783
410	0.01274096577
411	0.01271067719
412	0.0126785365
413	0.01263081399
414	0.0126202941
415	0.01261203433
416	0.01256079111
417	0.01252785147
418	0.0124846795
419	0.01248223198
420	0.01247984523
421	0.0124352356
422	0.01240081547
423	0.01235572287
424	0.01232470233
425	0.01228976059
426	0.01225083298
427	0.01223036253
428	0.01218095427
429	0.01214467448
430	0.0121031629
431	0.01209580678
432	0.0120669434
433	0.01202775374
434	0.01198180705
435	0.01194984649
436	0.01190008182
437	0.01187722913
438	0.01183301678
439	0.01179832014
440	0.01176676879
441	0.01176454296
442	0.01172541969
443	0.01170070369
444	0.0116985344
445	0.01166167335
446	0.01165957034
447	0.01162671286
448	0.01162352121
449	0.01160109395
450	0.01156064034
451	0.01153515943
452	0.01149459017
453	0.01145997588
454	0.01142968739
455	0.01140673578
456	0.01138330316
457	0.01135141411
458	0.01130968635
459	0.01130770149
460	0.01127700343
461	0.01123361647
462	0.0111930014
463	0.01115925709
464	0.01112511761
465	0.01109923407
466	0.01109739432
467	0.01106634357
468	0.01104030768
469	0.01103844412
470	0.01099235982
471	0.01095502928
472	0.01093401046
473	0.01090180753
474	0.01087720101
475	0.01083270822
476	0.01080239641
477	0.01077244163
478	0.01074581293
479	0.01074406227
480	0.01070394926
481	0.01068469988
482	0.01066160849
483	0.01063328525
484	0.01061181126
485	0.01059586675
486	0.01057172889
487	0.01055215179
488	0.01051506938
489	0.01049203577
490	0.01045984351
491	0.01045706995
492	0.01041562017
493	0.0104091468
494	0.01040322185
495	0.01035744232
496	0.01033388475
497	0.01030225623
498	0.01027868583
499	0.01025147042
500	0.01020887304
501	0.01017501173
502	0.01014882044
503	0.01011699631
504	0.01008683186
505	0.01008527211
506	0.01006708531
507	0.01002686788
508	0.00999843484
509	0.009971566036
510	0.009951744245
511	0.009930805078
512	0.009906396618
513	0.009874972371
514	0.009838920315
515	0.009813492335
516	0.009782285027
517	0.009777946148
518	0.00974769424
519	0.009723946604
520	0.009711847437
521	0.0096945217
522	0.009667581767
523	0.009640658648
524	0.00962394613
525	0.009604110828
526	0.009563217802
527	0.009528035669
528	0.009501898149
529	0.009483610877
530	0.009467694602
531	0.009462644857
532	0.009431450572
533	0.009396782073
534	0.009381798021
535	0.009360908403
536	0.0093271781
537	0.009288373548
538	0.009284461799
539	0.009248320063
540	0.009229677157
541	0.009201422578
542	0.009197336898
543	0.009170987846
544	0.00916719759
545	0.009127694523
546	0.009106913672
547	0.0090903784
548	0.009075047561
549	0.009059247018
550	0.009034035153
551	0.009017485095
552	0.008993904899
553	0.008965295663
554	0.008941034712
555	0.008936455891
556	0.008918321856
557	0.008891467259
558	0.008887901345
559	0.008855807973
560	0.008837145012
561	0.008813935546
562	0.008800629059
563	0.008778308835
564	0.00876726677
565	0.008756723189
566	0.00873798894
567	0.008715403378
568	0.008700238792
569	0.008684721139
570	0.008682587874
571	0.008662046864
572	0.008638832726
573	0.008627129295
574	0.008601163359
575	0.008581378484
576	0.008571142743
577	0.008545697149
578	0.008518172307
579	0.008497961989
580	0.008483870826
581	0.008462078936
582	0.008451110934
583	0.008435572181
584	0.008410473831
585	0.008389366697
586	0.008366272043
587	0.008357228887
588	0.008334776377
589	0.008329140963
590	0.008309663682
591	0.008301137404
592	0.008277636113
593	0.00826948161
594	0.008247748364
595	0.008233433445
596	0.00821106025
597	0.008199020159
598	0.008180045422
599	0.008171296499
600	0.008160042459
601	0.008150735627
602	0.008143285038
603	0.008121655526
604	0.008115735018
605	0.008094169237
