timestamp,datetime,year,month,day,hour,weekday,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,wind_speed,precipitation,is_weekend,hour_sin,hour_cos,aqi_rolling_mean,aqi_rolling_std,aqi_rolling_max,aqi_rolling_min,pm2_5_rolling_mean,pm2_5_rolling_std,pm2_5_rolling_max,pm2_5_rolling_min,pm10_rolling_mean,pm10_rolling_std,pm10_rolling_max,pm10_rolling_min,aqi_lag_1,aqi_lag_24,aqi_lag_48,pm2_5_lag_1,pm2_5_lag_24,pm2_5_lag_48,pm10_lag_1,pm10_lag_24,pm10_lag_48,aqi_ema,pm2_5_ema,pm10_ema,temp_aqi_interaction,humidity_wind_interaction,daily_avg_aqi,monthly_avg_aqi,weekly_avg_aqi,aqi_median,aqi_max,aqi_min,aqi_trend,aqi_seasonal,aqi_residual,is_aqi_spike,is_aqi_dip
1734379200,2024-12-16 20:00:00,2024,12,16,20,0,0.7120655267881776,6835.94,66.16,159.03,0.0,53.88,2.4057281663547205,2.580351341076405,71.94,-0.9062332170205378,-0.5764221712861581,-1.150749944443788,0.0,0,-0.8660254037844386,0.5000000000000001,5.0,0.0,5.0,5.0,251.21916666666667,162.23690332127106,655.64,89.47,337.53875,199.29247895476385,821.64,137.62,5.0,5.0,5.0,551.47,321.74,115.33,707.8,412.35,173.81,4.984436005372091,293.68776149208395,391.4405364701694,1903.85,290.5,4.680555555555555,4.698924731182796,4.6726190476190474,5.0,5.0,5.0,5.007730060556929,-0.08442971380307866,0.07669965324615013,0,0
1734382800,2024-12-16 21:00:00,2024,12,16,21,0,0.7120655267881776,4325.87,26.38,122.01,0.02,37.67,1.151376589454801,1.2729759091630468,45.09,-0.9062332170205378,-0.5764221712861581,-1.150749944443788,0.0,0,-0.7071067811865477,0.7071067811865474,5.0,0.0,5.0,5.0,252.26083333333335,162.13362636811482,655.64,89.47,339.40458333333333,199.16043510914142,821.64,137.62,5.0,5.0,5.0,380.77,223.83,105.51,510.28,302.57,156.88,4.9856811249423245,290.09914057271726,387.91329355255584,1244.15,290.5,4.680555555555555,4.698924731182796,4.6726190476190474,5.0,5.0,5.0,5.007664523617279,-0.08155669269733448,0.07389216908005469,0,0
1734386400,2024-12-16 22:00:00,2024,12,16,22,0,0.7120655267881776,3070.83,7.1,94.59,0.63,30.52,0.6130911090540621,0.6486967180818505,34.96,-0.9062332170205378,-0.5764221712861581,-1.150749944443788,0.0,0,-0.5000000000000004,0.8660254037844384,5.0,0.0,5.0,5.0,252.90458333333333,161.8512434568069,655.64,89.47,340.35875,198.75116785683736,821.64,137.62,5.0,5.0,5.0,248.83,176.76,103.46,347.35,246.65,150.65,4.986826634946939,282.2680093268999,378.44423006835143,961.0500000000001,290.5,4.680555555555555,4.698924731182796,4.6726190476190474,5.0,5.0,5.0,5.0071028271030675,-0.3352259882804031,0.3281231611773352,0,0
1734390000,2024-12-16 23:00:00,2024,12,16,23,0,0.7120655267881776,2696.99,1.87,76.77,4.02,28.61,0.5502499394064306,0.498564794365537,33.94,-0.9062332170205378,-0.5764221712861581,-1.150749944443788,0.0,0,-0.25881904510252157,0.9659258262890681,5.0,0.0,5.0,5.0,253.83,161.37998205693216,655.64,89.47,341.35249999999996,198.2185933070077,821.64,137.62,5.0,5.0,5.0,192.21,163.39,105.37,269.55,226.99,149.87,4.9878805041511844,274.53456858074793,368.2358916628833,928.0,290.5,4.680555555555555,4.698924731182796,4.6726190476190474,5.0,5.0,5.0,5.005629466608075,-0.3325373037417021,0.3269078371336276,0,0
1734393600,2024-12-17 00:00:00,2024,12,17,0,1,0.7120655267881776,2563.48,0.25,64.43,12.16,27.42,0.6017777971205248,0.47673909514007623,33.94,-0.9062332170205378,-0.5764221712861581,-1.150749944443788,0.0,0,0.0,1.0,5.0,0.0,5.0,5.0,255.30291666666665,160.6045793510091,655.64,89.47,342.78749999999997,197.37700157313216,821.64,137.62,5.0,5.0,5.0,185.6,155.67,107.04,250.84,213.68,150.26,4.988850063819091,267.8534030942881,358.6266203298527,955.1,290.5,4.583333333333333,4.698924731182796,4.6726190476190474,5.0,5.0,5.0,5.0026511138384455,-0.3297613070169753,0.3271101931785294,0,0
1734397200,2024-12-17 01:00:00,2024,12,17,1,1,0.7120655267881776,2510.07,0.07,60.32,19.49,25.99,0.6302036817266393,0.45788233294160824,33.44,-0.632943053610306,-0.2929444594372551,-0.6426532016066259,0.0,0,0.25881904510252074,0.9659258262890683,5.0,0.0,5.0,5.0,257.15541666666667,159.58490870622904,655.64,89.47,344.56375,196.25426129547012,821.64,137.62,5.0,5.0,5.0,191.02,149.55,109.53,248.12,203.14,151.94,4.989742058713564,261.94593084674506,349.5980907034645,970.05,426.40000000000003,4.583333333333333,4.698924731182796,4.6726190476190474,5.0,5.0,5.0,4.997359599941105,-0.32680732426005216,0.3294477243189471,0,0
1734400800,2024-12-17 02:00:00,2024,12,17,2,1,0.7120655267881776,2723.69,0.23,71.97,17.52,26.94,0.7229918535512811,0.5477528591640942,37.49,-0.632943053610306,-0.2929444594372551,-0.6426532016066259,0.0,0,0.49999999999999994,0.8660254037844387,5.0,0.0,5.0,5.0,258.75291666666664,158.81683372278889,655.64,89.47,346.1545833333334,195.34304247476368,821.64,137.62,5.0,5.0,5.0,194.01,165.43,120.99,245.77,218.79,164.33,4.99056269401648,257.2918563790055,342.18784344718733,1018.85,426.40000000000003,4.583333333333333,4.698924731182796,4.6726190476190474,5.0,5.0,5.0,4.988891897424311,-0.06724657523258654,0.07835467780827621,0,0
1734404400,2024-12-17 03:00:00,2024,12,17,3,1,0.7120655267881776,3791.81,13.75,106.93,2.21,32.42,1.1585068280683748,1.0373065024528316,53.2,-0.632943053610306,-0.2929444594372551,-0.6426532016066259,0.0,0,0.7071067811865476,0.7071067811865476,5.0,0.0,5.0,5.0,259.6591666666667,158.6947162462974,655.64,89.47,347.3770833333333,195.05905563899253,821.64,137.62,5.0,5.0,5.0,203.77,227.83,158.23,256.97,288.64,208.1,4.991317678495162,256.67490786868507,340.25121597141236,1247.9,426.40000000000003,4.583333333333333,4.698924731182796,4.6726190476190474,5.0,5.0,5.0,4.976458027313361,0.1925211387229015,-0.16897916603626317,0,0
1734408000,2024-12-17 04:00:00,2024,12,17,4,1,0.7120655267881776,5714.42,65.27,126.12,5.99,42.92,1.848618856014147,1.7452776210787175,73.97,-0.632943053610306,-0.2929444594372551,-0.6426532016066259,0.0,0,0.8660254037844386,0.5000000000000001,5.0,0.0,5.0,5.0,260.83708333333334,159.06440698466818,655.64,89.47,348.9895833333333,195.39240153619062,821.64,137.62,5.0,5.0,5.0,249.58,293.9,190.93,317.98,367.51,250.57,4.99201226421555,261.9145152391903,345.5279186936994,1610.8500000000001,426.40000000000003,4.583333333333333,4.698924731182796,4.6726190476190474,5.0,5.0,5.0,4.9594678438307165,0.1960541010124054,-0.1555219448431222,0,0
1734411600,2024-12-17 05:00:00,2024,12,17,5,1,0.7120655267881776,7690.43,109.08,149.43,13.41,55.31,2.619159975521033,2.4741115404348237,92.21,-0.632943053610306,-0.2929444594372551,-0.6426532016066259,0.0,0,0.9659258262890683,0.25881904510252074,5.0,0.0,5.0,5.0,263.66791666666666,161.03915111277533,655.64,89.47,352.1779166666667,197.22606069485437,821.64,137.62,5.0,5.0,5.0,322.17,335.28,196.09,406.21,420.52,262.24,4.992651283078306,273.2189540200551,357.64888519820346,2016.1000000000001,426.40000000000003,4.583333333333333,4.698924731182796,4.6726190476190474,5.0,5.0,5.0,4.937792570938973,0.1996391380518067,-0.13743170899078017,0,0
1734415200,2024-12-17 06:00:00,2024,12,17,6,1,0.7120655267881776,8544.92,99.24,194.67,28.61,65.8,3.2143922949821815,3.043906724993638,99.3,-0.632943053610306,-0.2929444594372551,-0.6426532016066259,0.0,0,1.0,6.123233995736766e-17,5.0,0.0,5.0,5.0,267.3475,164.72048200961032,655.64,89.47,356.25458333333336,200.7515293131243,821.64,137.62,5.0,5.0,5.0,403.22,377.52,188.56,497.04,470.21,256.57,4.993239180432042,288.62783769845066,374.4809743823472,2329.15,426.40000000000003,4.583333333333333,4.698924731182796,4.6726190476190474,5.0,5.0,5.0,4.911856892573123,0.20315734784232026,-0.1150142404154435,0,0
