components_pm2_5,components_pm10,hour,day,month,aqi_rolling_mean,aqi_rolling_std,aqi_rolling_max,aqi_rolling_min,aqi_lag_1,aqi_lag_24,aqi_lag_48,aqi_ema,aqi_category,is_aqi_spike,is_aqi_dip,temp_aqi_interaction,humidity_wind_interaction,daily_avg_aqi,monthly_avg_aqi,weekly_avg_aqi,aqi_median,aqi_max,aqi_min,aqi_trend,aqi_seasonal,aqi_residual,is_weekend,hour_sin,hour_cos,weather_temperature,weather_humidity,weather_wind_speed,weather_precipitation,aqi
-0.673964495620117,-0.6390195362203395,9,23,10,3.9583333333333335,0.750603621828092,5.0,3.0,4.0,3.0,3.0,4.039903577201749,1,0,0,227.32,1232.8,4.138888888888889,4.062745098039216,3.69811320754717,4.0,5.0,3.0,4.047824000349222,0.0393241528733205,-0.0871481532225426,0,0.7071067811865476,-0.7071067811865475,1.3347461229433637,0.935458958574658,1.2929534377730394,0.0,-0.5308856875811693
-0.7206437910769806,-0.6823499685061808,10,23,10,4.0,0.7223151185146154,5.0,3.0,4.0,3.0,3.0,4.036711291025609,1,0,0,207.68,1232.8,4.138888888888889,4.062745098039216,3.69811320754717,4.0,5.0,3.0,4.053299928555678,0.0327959897203727,-0.0860959182760505,0,0.4999999999999999,-0.8660254037844387,1.3347461229433637,0.935458958574658,1.2929534377730394,0.0,-0.5308856875811693
-0.7597174986793657,-0.7197425267380365,11,23,10,4.0,0.7223151185146154,5.0,3.0,4.0,3.0,3.0,3.953774387743561,1,0,0,143.43,1232.8,4.138888888888889,4.062745098039216,3.69811320754717,4.0,5.0,3.0,4.058379327816186,-0.4036565042039585,-0.6547228236122278,0,0.258819045102521,-0.9659258262890682,1.3347461229433637,0.935458958574658,1.2929534377730394,0.0,-1.773836901950516
-0.7748336045401423,-0.7376363904412636,12,23,10,4.0,0.7223151185146154,5.0,3.0,3.0,3.0,3.0,3.877472436724077,1,0,0,138.66,1232.8,4.138888888888889,4.062745098039216,3.69811320754717,4.0,5.0,3.0,4.063548750996483,-0.6131446629492616,-0.4504040880472209,0,1.2246467991473532e-16,-1.0,1.3347461229433637,0.935458958574658,1.2929534377730394,0.0,-1.773836901950516
-0.7729322075765226,-0.7455000614857311,13,23,10,4.0,0.7223151185146154,5.0,3.0,3.0,3.0,3.0,3.807274641786151,1,0,0,139.26,1232.8,4.138888888888889,4.062745098039216,3.69811320754717,4.0,5.0,3.0,4.069363373715767,-0.6200415549567215,-0.4493218187590453,0,-0.2588190451025208,-0.9659258262890684,1.3347461229433637,0.935458958574658,1.2929534377730394,0.0,-1.773836901950516
-0.7598125685275466,-0.7408460520920668,14,23,10,4.0,0.7223151185146154,5.0,3.0,3.0,3.0,3.0,3.742692670443259,1,0,0,143.39999999999998,1232.8,4.138888888888889,4.062745098039216,3.69811320754717,4.0,5.0,3.0,4.076282412202716,-0.6269181299725066,-0.4493642822302099,0,-0.4999999999999997,-0.8660254037844388,1.3347461229433637,0.935458958574658,1.2929534377730394,0.0,-1.773836901950516
-0.7325275220996038,-0.7247977438380514,15,23,10,4.041666666666667,0.6902530516863501,5.0,3.0,3.0,3.0,3.0,3.763277256807798,1,0,0,202.68,1232.8,4.138888888888889,4.062745098039216,3.69811320754717,4.0,5.0,3.0,4.084509719104638,-0.2038622734192001,0.1193525543145623,0,-0.7071067811865471,-0.7071067811865479,1.3347461229433637,0.935458958574658,1.2929534377730394,0.0,-0.5308856875811693
-0.6776722196991753,-0.6788995822315675,16,23,10,4.083333333333333,0.6538625481582947,5.0,3.0,4.0,3.0,3.0,3.7822150762631743,1,0,0,225.76,1232.8,4.138888888888889,4.062745098039216,3.69811320754717,4.0,5.0,3.0,4.093946215183689,-0.2102602356711093,0.1163140204874197,0,-0.8660254037844385,-0.5000000000000004,1.3347461229433637,0.935458958574658,1.2929534377730394,0.0,-0.5308856875811693
-0.6191091932196885,-0.6369332561473174,17,23,10,4.083333333333333,0.6538625481582947,5.0,3.0,4.0,4.0,3.0,3.79963787016212,1,0,0,250.4,1232.8,4.138888888888889,4.062745098039216,3.69811320754717,4.0,5.0,3.0,4.104218436451274,0.0497290836516617,-0.1539475201029354,0,-0.9659258262890684,-0.2588190451025206,1.3347461229433637,0.935458958574658,1.2929534377730394,0.0,-0.5308856875811693
-0.5736658057891775,-0.6119781368123236,18,23,10,4.083333333333333,0.6538625481582947,5.0,3.0,4.0,4.0,3.0,3.8156668405491514,1,0,0,269.52,1232.8,4.138888888888889,4.062745098039216,3.69811320754717,4.0,5.0,3.0,4.11499970972924,0.0442141603630015,-0.1592138700922416,0,-1.0,-1.8369701987210294e-16,1.3347461229433637,0.935458958574658,1.2929534377730394,0.0,-0.5308856875811693
-0.5897326101317639,-0.6493706950441793,19,23,10,4.083333333333333,0.6538625481582947,5.0,3.0,4.0,4.0,3.0,3.8304134933052185,1,0,0,262.76,1232.8,4.138888888888889,4.062745098039216,3.69811320754717,4.0,5.0,3.0,4.126042591011191,0.0391339682688015,-0.1651765592799927,0,-0.9659258262890684,0.2588190451025203,1.3347461229433637,0.935458958574658,1.2929534377730394,0.0,-0.5308856875811693
-0.6523836400830333,-0.7356303519095116,20,23,10,4.083333333333333,0.6538625481582947,5.0,3.0,4.0,4.0,3.0,3.843980413840801,1,0,0,236.4,1232.8,4.138888888888889,4.062745098039216,3.69811320754717,4.0,5.0,3.0,4.137051931437468,0.0344469964350952,-0.1714989278725633,0,-0.8660254037844386,0.5000000000000001,1.3347461229433637,0.935458958574658,1.2929534377730394,0.0,-0.5308856875811693
